question,option_a,option_b,option_c,option_d,correct_option,explanation,exam,topic,subtopic,difficulty,type,year,tags
"Consider the following statements: Statement I: At the 28th United Nations Climate Change Conference (COP28), India refrained from signing the Declaration on Climate and Health. Statement II: The COP28 Declaration on Climate and Health is a binding declaration; and if signed, it becomes mandatory to decarbonize health sector. Statement III: If India's health sector is decarbonized, the resilience of its health-care system may be compromised. Which one of the following is correct in respect of the above statements?","Both Statement II and Statement III are correct and both of them explain Statement I","Both Statement II and Statement III are correct but only one of them explains Statement I","Only one of the Statements II and III is correct and that explains Statement I","Neither Statement II nor Statement III is correct","C","Statement I is correct. Statement II is incorrect because the declaration is non-binding. Statement III is treated as the explanatory factor behind India's position.","UPSC","Environment","Climate Change","Medium","PYQ","2025","cop28|climate and health|india|environment|climate change"
"Consider the following statements: Statement I: Scientific studies suggest that a shift is taking place in the Earth's rotation and axis. Statement II: Solar flares and associated coronal mass ejections bombarded the Earth's outermost atmosphere with tremendous amount of energy. Statement III: As the Earth's polar ice melts, the water tends to move towards the equator. Which one of the following is correct in respect of the above statements?","Both Statement II and Statement III are correct and both of them explain Statement I","Both Statement II and Statement III are correct but only one of them explains Statement I","Only one of the Statement II and III is correct and that explains Statement I","Neither Statement II nor Statement III is correct","B","Statement I is correct. Statement III explains long-term shifts in Earth's axis due to redistribution of mass; Statement II may be true in itself but does not explain the long-term shift in the same way.","UPSC","Geography","Physical Geography","Medium","PYQ","2025","earth rotation|axis|polar ice|geography|physical geography"
"Consider the following statements: Statement I: Article 6 of the Paris Agreement on climate change is frequently discussed in global discussions on sustainable development and climate change. Statement II: Article 6 of the Paris Agreement on climate change sets out the principles of carbon markets. Statement III: Article 6 of the Paris Agreement on climate change intends to promote inter-country non-market strategies to reach their climate targets. Which one of the following is correct in respect of the above statements?","Both Statement II and Statement III are correct and both of them explain Statement I","Both Statement II and Statement III are correct but only one of them explains Statement I","Only one of the Statements II and III is correct and that explains Statement I","Neither Statement II nor Statement III is correct","A","Article 6 covers both market and non-market cooperation under the Paris Agreement, which is why it is important in climate negotiations.","UPSC","Environment","Climate Change","Medium","PYQ","2025","paris agreement|article 6|carbon markets|environment|climate change"
"Which one of the following launched the Nature Solutions Finance Hub for Asia and the Pacific?","The Asian Development Bank (ADB)","The Asian Infrastructure Investment Bank (AIIB)","The New Development Bank (NDB)","The International Bank for Reconstruction and Development (IBRD)","A","The Asian Development Bank launched the Nature Solutions Finance Hub for Asia and the Pacific.","UPSC","Environment","Environment","Easy","PYQ","2025","adb|nature finance|biodiversity|environment|asia pacific"
"With reference to Direct Air Capture, an emerging technology, which of the following statements is/are correct? I. It can be used as a way of carbon sequestration. II. It can be a valuable approach for plastic production and in food processing. III. In aviation, it can be a source of carbon for combining with hydrogen to create synthetic low-carbon fuel. Select the correct answer using the code given below.","I and II only","III only","I, II and III","None of the above statements is correct","C","Direct Air Capture can remove CO2 for sequestration or industrial use, including synthetic fuels and some chemical feedstocks.","UPSC","Environment","Pollution","Medium","PYQ","2025","direct air capture|carbon sequestration|synthetic fuel|environment|pollution"
"Regarding Peacock tarantula (Gooty tarantula), consider the following statements: I. It is an omnivorous crustacean. II. Its natural habitat in India is only limited to some forest areas. III. In its natural habitat, it is an arboreal species. Which of the statements given above is/are correct?","I only","I and III","II only","II and III","D","The Peacock tarantula is a spider, not a crustacean, and it is an arboreal species with a highly restricted natural habitat in parts of India.","UPSC","Science","Biology","Hard","PYQ","2025","peacock tarantula|gooty tarantula|science|biology|species"
"Consider the following pairs: Plant : Description I. Cassava : Woody shrub II. Ginger : Herb with pseudostem III. Malabar spinach : Herbaceous climber IV. Mint : Annual shrub V. Papaya : Woody shrub How many of the above pairs are correctly matched?","Only two","Only three","Only four","All the five","B","Cassava, ginger, and Malabar spinach are correctly matched. Mint is not an annual shrub, and papaya is not a woody shrub in the usual botanical description.","UPSC","General Studies","General","Hard","PYQ","2025","plants|botany|cassava|ginger|general"
"With reference to the planet Earth, consider the following statements: I. Rain forests produce more oxygen than that produced by oceans. II. Marine phytoplankton and photosynthetic bacteria produce about 50% of world's oxygen. III. Well-oxygenated surface water contains several folds higher oxygen than that in atmospheric air. Which of the statements given above is/are correct?","I and II","II only","I and III","None of the above statements is correct","B","Marine phytoplankton and photosynthetic microorganisms contribute roughly half of global oxygen production. The other statements are not correct.","UPSC","Geography","Physical Geography","Hard","PYQ","2025","oxygen|phytoplankton|earth|geography|physical geography"
"Consider the following statements about Raja Ram Mohan Roy: I. He possessed great love and respect for the traditional philosophical systems of the East. II. He desired his countrymen to accept the rational and scientific approach and the principle of human dignity and social equality of all men and women. Which of the statements given above is/are correct?","I only","II only","Both I and II","Neither I nor II","C","Raja Ram Mohan Roy respected Indian philosophical traditions while also advocating rationalism, reform, dignity, and equality.","UPSC","History","Modern History","Hard","PYQ","2025","raja ram mohan roy|reform|history|modern history|social reform"
"Consider the following subjects with regard to Non-Cooperation Programme: I. Boycott of law-courts and foreign cloth II. Observance of strict non-violence III. Retention of titles and honours without using them in public IV. Establishment of Panchayats for settling disputes How many of the above were parts of Non-Cooperation Programme?","Only one","Only two","Only three","All the four","C","Items I, II, and IV were part of the Non-Cooperation Programme. Retention of titles and honours was not; surrender of titles was encouraged.","UPSC","History","Modern History","Hard","PYQ","2025","non-cooperation|gandhi|history|modern history|freedom struggle"
"The irrigation device called Araghata was","a water bag made of leather pulled over a pulley","a large wheel with earthen pots tied to the outer ends of its spokes","a larger earthen pot driven by bullocks","a large water bucket pulled up by rope directly by hand","B","Araghata, also called the Persian wheel or rehat, used a wheel with pots or buckets to lift water for irrigation.","UPSC","History","Ancient History","Easy","PYQ","2025","araghata|irrigation|ancient history|technology|history"
"Who among the following rulers in ancient India had assumed the titles Mattavilasa, Vichitrachitta and Gunabhara?","Mahendravarman I","Simhavishnu","Narasimhavarman I","Simhavarman","A","Mahendravarman I of the Pallavas is associated with these titles and with notable patronage of art and architecture.","UPSC","History","Ancient History","Easy","PYQ","2025","pallava|mahendravarman|ancient history|titles|history"
"Fa-hien (Faxian), the Chinese pilgrim, travelled to India during the reign of","Samudragupta","Chandragupta II","Kumaragupta I","Skandagupta","B","Faxian travelled in India during the reign of Chandragupta II of the Gupta Empire.","UPSC","History","Ancient History","Easy","PYQ","2025","faxian|fa-hien|gupta|ancient history|history"
"Who among the following led a successful military campaign against the kingdom of Srivijaya, the powerful maritime state which ruled the Malay Peninsula, Sumatra, Java and the neighbouring islands?","Amoghavarsha (Rashtrakuta)","Prataparudra (Kakatiya)","Rajendra I (Chola)","Vishnuvardhana (Hoysala)","C","Rajendra I of the Cholas launched the well-known naval campaign against Srivijaya.","UPSC","History","Ancient History","Easy","PYQ","2025","rajendra i|chola|srivijaya|naval campaign|history"
"With reference to ancient India (600-322 BC), consider the following pairs: Territorial Region : River flowing in the region I. Asmaka : Godavari II. Kamboja : Vipas III. Avanti : Mahanadi IV. Kosala : Sarayu How many of the pairs given above are correctly matched?","Only one","Only two","Only three","All the four","B","Asmaka with Godavari and Kosala with Sarayu are correctly matched. The others are not.","UPSC","History","Ancient History","Medium","PYQ","2025","mahajanapada|rivers|ancient india|history|ancient history"
"The first Gandharva Mahavidyalaya, a music training school, was set up in 1901 by Vishnu Digambar Paluskar in","Delhi","Gwalior","Ujjain","Lahore","D","Vishnu Digambar Paluskar founded the first Gandharva Mahavidyalaya in Lahore in 1901.","UPSC","History","Modern History","Easy","PYQ","2025","music|gandharva mahavidyalaya|lahore|history|modern history"
"Ashokan inscriptions suggest that the Pradeshika, Rajuka and Yukta were important officers at the","village-level administration","district-level administration","provincial administration","level of the central administration","B","Ashokan inscriptions indicate these officers were associated with district-level administration in the Mauryan system.","UPSC","History","Ancient History","Easy","PYQ","2025","ashoka|mauryan administration|history|ancient history|officers"
"Consider the following statements in respect of the Non-Cooperation Movement: I. The Congress declared the attainment of Swaraj by all legitimate and peaceful means to be its objective. II. It was to be implemented in stages with civil disobedience and non-payment of taxes for the next stage only if Swaraj did not come within a year and the Government resorted to repression. Which of the statements given above is/are correct?","I only","II only","Both I and II","Neither I nor II","C","Both statements are correct in the context of the programme and its staged escalation under Gandhi's leadership.","UPSC","History","Modern History","Hard","PYQ","2025","non-cooperation movement|swaraj|history|modern history|gandhi"
"With reference to investments, consider the following: I. Bonds II. Hedge Funds III. Stocks IV. Venture Capital How many of the above are treated as Alternative Investment Funds?","Only one","Only two","Only three","All the four","B","Hedge funds and venture capital fall under alternative investments, whereas ordinary bonds and stocks do not.","UPSC","Economy","Markets","Easy","PYQ","2025","investments|aif|hedge funds|venture capital|economy"
"Which of the following are the sources of income for the Reserve Bank of India? I. Buying and selling Government bonds II. Buying and selling foreign currency III. Pension fund management IV. Lending to private companies V. Printing and distributing currency notes Select the correct answer using the code given below.","I and II only","II, III and IV","I, III, IV and V","I, II and V","D","RBI earns from government securities operations, foreign exchange operations, and currency management-related seigniorage. It does not function as a pension fund manager or routine lender to private companies.","UPSC","Economy","Banking","Medium","PYQ","2025","rbi|income|banking|economy|central bank"
"Consider the following statements: I. The Reserve Bank of India mandates all the listed companies in India to submit a Business Responsibility and Sustainability Report (BRSR). II. In India, a company submitting a BRSR makes disclosures in the report that are largely non-financial in nature. Which of the statements given above is/are correct?","I only","II only","Both I and II","Neither I nor II","B","Statement I is incorrect because BRSR is mandated by SEBI, not RBI. Statement II is correct because BRSR focuses largely on non-financial disclosures.","UPSC","Economy","Banking","Hard","PYQ","2025","brsr|sebi|sustainability|economy|disclosure"
"Consider the following statements: I. India has joined the Minerals Security Partnership as a member. II. India is a resource-rich country in all the 30 critical minerals that it has identified. III. The Parliament in 2023 amended the Mines and Minerals (Development and Regulation) Act, 1957 empowering the Central Government to exclusively auction mining lease and composite license for certain critical minerals. Which of the statements given above are correct?","I and II only","II and III only","I and III only","I, II and III","C","India joined the Minerals Security Partnership, but it is not resource-rich in all critical minerals identified. The 2023 amendment empowered the Centre regarding specified critical minerals.","UPSC","Polity","Constitution","Hard","PYQ","2025","critical minerals|msp|mmdr act|polity|constitution"
"Consider the following statements: Statement I: As regards returns from an investment in a company, generally, bondholders are considered to be relatively at lower risk than stockholders. Statement II: Bondholders are lenders to a company whereas stockholders are its owners. Statement III: For repayment purpose, bondholders are prioritized over stockholders by a company. Which one of the following is correct in respect of the above statements?","Both Statement II and Statement III are correct and both of them explain Statement I","Both Statement I and Statement II are correct and Statement I explains Statement II","Only one of the Statements II and III is correct and that explains Statement I","Neither Statement II nor Statement III is correct","A","Bondholders are lenders and rank above shareholders in repayment, which explains their relatively lower risk compared to stockholders.","UPSC","Economy","Markets","Medium","PYQ","2025","bonds|stocks|markets|economy|risk"
"Consider the following statements: I. India accounts for a very large portion of all equity option contracts traded globally thus exhibiting a great boom. II. India's stock market has grown rapidly in the recent past even overtaking Hong Kong's at some point of time. III. There is no regulatory body either to warn the small investors about the risks of options trading or to act on unregistered financial advisors in this regard. Which of the statements given above are correct?","I and II only","II and III only","I and III only","I, II and III","A","Statements I and II are correct. Statement III is incorrect because SEBI regulates the securities market and can act on unregistered advisors and investor-risk issues.","UPSC","General Studies","General","Hard","PYQ","2025","options trading|sebi|india markets|general|finance"
"Consider the following statements: Statement I: Circular economy reduces the emissions of greenhouse gases. Statement II: Circular economy reduces the use of raw materials as inputs. Statement III: Circular economy reduces wastage in the production process. Which one of the following is correct in respect of the above statements?","Both Statement II and Statement III are correct and both of them explain Statement I","Both Statement II and Statement III are correct but only one of them explains Statement I","Only one of the Statements II and III is correct and that explains Statement I","Neither Statement II nor Statement III is correct","A","Reducing raw material extraction and production waste both help lower greenhouse gas emissions, which is why circular economy is climate-relevant.","UPSC","Environment","Environment","Medium","PYQ","2025","circular economy|emissions|environment|resource efficiency|waste"
"Consider the following statements: I. Capital receipts create a liability or cause a reduction in the assets of the Government. II. Borrowings and disinvestment are capital receipts. III. Interest received on loans creates a liability of the Government. Which of the statements given above are correct?","I and II only","II and III only","I and III only","I, II and III","A","Capital receipts either create liabilities or reduce assets. Borrowings and disinvestment are capital receipts. Interest received on loans is a revenue receipt, not a liability-creating capital receipt.","UPSC","Economy","Public Finance","Hard","PYQ","2025","capital receipts|public finance|economy|budget|government"
"Consider the following countries: I. Austria II. Bulgaria III. Croatia IV. Serbia V. Sweden VI. North Macedonia How many of the above are members of the North Atlantic Treaty Organization?","Only three","Only four","Only five","All the six","B","Bulgaria, Croatia, North Macedonia, and Sweden are NATO members. Austria and Serbia are not.","UPSC","General Studies","General","Easy","PYQ","2025","nato|europe|general|international relations|countries"
"Consider the following countries: I. Bolivia II. Brazil III. Colombia IV. Ecuador V. Paraguay VI. Venezuela Andes mountains pass through how many of the above countries?","Only two","Only three","Only four","Only five","C","The Andes pass through Bolivia, Colombia, Ecuador, and Venezuela among the listed countries. They do not pass through Brazil or Paraguay.","UPSC","Geography","World Geography","Easy","PYQ","2025","andes|south america|geography|world geography|mountains"
"Consider the following water bodies: I. Lake Tanganyika II. Lake Tonle Sap III. Patos Lagoon Through how many of them does the equator pass?","Only one","Only two","All the three","None","D","The equator passes through none of these water bodies.","UPSC","Geography","World Geography","Easy","PYQ","2025","equator|lakes|world geography|geography|water bodies"
"Consider the following statements about turmeric during the year 2022-23: I. India is the largest producer and exporter of turmeric in the world. II. More than 30 varieties of turmeric are grown in India. III. Maharashtra, Telangana, Karnataka and Tamil Nadu are major turmeric producing States in India. Which of the statements given above are correct?","I and II only","II and III only","I and III only","I, II and III","D","All three statements are treated as correct with reference to turmeric production, varieties, and major producing states in India.","UPSC","General Studies","General","Hard","PYQ","2025","turmeric|agriculture|india|general|spices"
"Which of the following are the evidences of the phenomenon of continental drift? I. The belt of ancient rocks from Brazil coast matches with those from Western Africa. II. The gold deposits of Ghana are derived from the Brazil plateau when the two continents lay side by side. III. The Gondwana system of sediments from India is known to have its counterparts in six different landmasses of the Southern Hemisphere. Select the correct answer using the code given below.","I and III only","I and II only","I, II and III","II and III only","C","All three are standard lines of evidence cited in support of continental drift and Gondwanaland reconstruction.","UPSC","Geography","Physical Geography","Medium","PYQ","2025","continental drift|gondwana|geology|geography|physical geography"
"Consider the following statements: In January, in the Northern Hemisphere, the isotherms bend equatorward while crossing the landmasses, and poleward while crossing the oceans. In January, the air over the oceans is warmer than that over the landmasses in the Northern Hemisphere. Which one of the following is correct?","Both Statement I and Statement II are correct and Statement II explains Statement I","Both Statement I and Statement II are correct but Statement II does not explain Statement I","Statement I is correct but Statement II is not correct","Statement I is not correct but Statement II is correct","A","In Northern Hemisphere winter, land cools faster than oceans, which causes isotherms to bend equatorward over land and poleward over oceans.","UPSC","Geography","Geography","Medium","PYQ","2025","isotherms|january|oceans|geography|climate"
"Consider the following statements: I. Without the atmosphere, temperature would be well below freezing point everywhere on the Earth's surface. II. Heat absorbed and trapped by the atmosphere maintains our planet's average temperature. III. Atmosphere's gases, like carbon dioxide, are particularly good at absorbing and trapping radiation. Which of the statements given above are correct?","I and III only","I and II only","I, II and III","II and III only","C","All three statements reflect the basic greenhouse effect and the atmosphere's role in maintaining Earth's temperature.","UPSC","General Studies","General","Hard","PYQ","2025","atmosphere|greenhouse effect|temperature|general|earth science"
"Consider the following statements about the Rashtriya Gokul Mission: I. It is important for the upliftment of rural poor, as majority of low producing indigenous animals are with small and marginal farmers and landless labourers. II. It was initiated to promote indigenous cattle and buffalo rearing and conservation in a scientific and holistic manner. Which of the statements given above is/are correct?","I only","II only","Both I and II","Neither I nor II","C","The Rashtriya Gokul Mission supports indigenous bovine breeds and has welfare implications for small and marginal livestock owners.","UPSC","General Studies","General","Hard","PYQ","2025","rashtriya gokul mission|animal husbandry|general|rural economy|livestock"
"Consider the following statements in respect of BIMSTEC: I. It is a regional organization consisting of seven member states till January 2025. II. It came into existence with the signing of the Dhaka Declaration, 1999. III. Bangladesh, India, Sri Lanka, Thailand and Nepal are founding member states of BIMSTEC. IV. In BIMSTEC, the subsector of tourism is being led by India. Which of the statements given above is/are correct?","I and II","II and III","I and IV","I only","D","Only Statement I is correct. BIMSTEC began with the Bangkok Declaration in 1997, and Nepal was not a founding member.","UPSC","General Studies","General","Hard","PYQ","2025","bimstec|regional grouping|general|international relations|south asia"
"Who amongst the following are members of the Jury to select the recipient of Gandhi Peace Prize? I. The President of India II. The Prime Minister of India III. The Chief Justice of India IV. The Leader of Opposition in the Lok Sabha Select the correct answer using the code given below.","II and IV only","I, II and III","II, III and IV","I and III only","C","The jury includes the Prime Minister, the Chief Justice of India, the Leader of Opposition in the Lok Sabha, and other eminent persons. The President is not a member.","UPSC","General Studies","General","Medium","PYQ","2025","gandhi peace prize|jury|general|awards|india"
"GPS-Aided Geo Augmented Navigation (GAGAN) uses a system of ground stations to provide necessary augmentation. Which of the following statements is/are correct in respect of GAGAN? I. It is designed to provide additional accuracy and integrity. II. It will allow more uniform and high quality air traffic management. III. It will provide benefits only in aviation but not in other modes of transportation. Select the correct answer using the code given below.","I, II and III","II and III only","I only","I and II only","D","GAGAN improves accuracy and integrity for navigation and supports better air traffic management. Its utility is not confined strictly to aviation alone.","UPSC","General Studies","General","Medium","PYQ","2025","gagan|navigation|aviation|general|isro"
"Consider the following statements regarding AI Action Summit held in Grand Palais, Paris in February 2025: I. Co-chaired with India, the event builds on the advances made at the Bletchley Park Summit held in 2023 and the Seoul Summit held in 2024. II. Along with other countries US and UK also signed the declaration on inclusive and sustainable AI. Which of the statements given above is/are correct?","I only","II only","Both I and II","Neither I nor II","A","Statement I is correct. Statement II is incorrect because the US and UK did not both sign that declaration.","UPSC","General Studies","General","Hard","PYQ","2025","ai summit|paris|general|technology|international"
"Consider the following pairs: I. International Year of the Woman Farmer : 2026 II. International Year of Sustainable and Resilient Tourism : 2027 III. International Year of Peace and Trust : 2025 IV. International Year of Asteroid Awareness and Planetary Defence : 2029 How many of the pairs given above are correctly matched?","Only one","Only two","Only three","All the four","D","All four pairs are treated as correctly matched.","UPSC","Science","General Science","Medium","PYQ","2025","international year|un|science|general science|calendar"
"Consider the following statements with regard to BRICS: I. 16th BRICS Summit was held under the Chairship of Russia in Kazan. II. Indonesia has become a full member of BRICS. III. The theme of the 16th BRICS Summit was Strengthening Multilateralism for Just Global Development and Security. Which of the statements given above is/are correct?","I and II","II and III","I and III","I only","A","Statement I is correct. Statement II is treated as correct here. Statement III is not taken as correct in this key.","UPSC","International Relations","Summits","Hard","PYQ","2025","brics|kazan|summit|international relations|global governance"
"Which organization has enacted the Nature Restoration Law (NRL) to tackle climate change and biodiversity loss?","The European Union","The World Bank","The Organization for Economic Cooperation and Development","The Food and Agriculture Organization","A","The Nature Restoration Law was enacted by the European Union.","UPSC","Environment","Climate Change","Easy","PYQ","2025","nature restoration law|eu|environment|climate change|biodiversity"
"Suppose the revenue expenditure is Rs.80,000 crores and the revenue receipts of the Government are Rs.60,000 crores. The Government budget also shows borrowings of Rs.10,000 crores and interest payments of Rs.6,000 crores. Which of the following statements are correct? I. Revenue deficit is Rs.20,000 crores. II. Fiscal deficit is Rs.10,000 crores. III. Primary deficit is Rs.4,000 crores. Select the correct answer using the code given below.","I and II only","II and III only","I and III only","I, II and III","D","Revenue deficit is Rs.20,000 crores. Using the key provided, all three statements are treated as correct in this item.","UPSC","General Studies","General","Medium","PYQ","2025","budget|deficit|public finance|general|economy"
"India is one of the founding members of the International North-South Transport Corridor (INSTC), a multimodal transportation corridor, which will connect","India to Central Asia to Europe via Iran","India to Central Asia via China","India to South-East Asia through Bangladesh and Myanmar","India to Europe through Azerbaijan","A","INSTC is a multimodal corridor connecting India with Iran and onward to Central Asia, Russia, and Europe.","UPSC","General Studies","General","Easy","PYQ","2025","instc|connectivity|general|transport corridor|india"
"Consider the following statements: Statement I: Of the two major ethanol producers in the world, i.e., Brazil and the United States of America, the former produces more ethanol than the latter. Statement II: Unlike in the United States of America where corn is the principal feedstock for ethanol production, sugarcane is the principal feedstock for ethanol production in Brazil. Which one of the following is correct in respect of the above statements?","Both Statement I and Statement II are correct and Statement II explains Statement I","Both Statement I and Statement II are correct but Statement II does not explain Statement I","Statement I is correct but Statement II is not correct","Statement I is not correct but Statement II is correct","D","The United States is the larger ethanol producer, while Brazil primarily uses sugarcane and the United States primarily uses corn.","UPSC","General Studies","General","Medium","PYQ","2025","ethanol|brazil|usa|general|biofuel"
"The World Bank warned that India could become one of the first places where wet-bulb temperatures routinely exceed 35°C. Which of the following statements best reflect(s) the implication of the above-said report? I. Peninsular India will most likely suffer from flooding, tropical cyclones and droughts. II. The survival of animals including humans will be affected as shedding of their body heat through perspiration becomes difficult. Select the correct answer using the code given below.","I only","II only","Both I and II","Neither I nor II","C","Both statements are treated as correct in the answer key linked to this item.","UPSC","General Studies","General","Medium","PYQ","2025","wet bulb temperature|climate risk|general|heat stress|india"
"A country's fiscal deficit stands at Rs.50,000 crores. It is receiving Rs.10,000 crores through non-debt creating capital receipts. The country's interest liabilities are Rs.1,500 crores. What is the gross primary deficit?","Rs.48,500 crores","Rs.51,500 crores","Rs.58,500 crores","None of the above","A","Gross primary deficit is calculated as fiscal deficit minus interest payments, which gives Rs.48,500 crores.","UPSC","Economy","Public Finance","Hard","PYQ","2025","fiscal deficit|primary deficit|economy|public finance|budget"
"Consider the following statements in respect of the International Bank for Reconstruction and Development (IBRD): I. It provides loans and guarantees to middle income countries. II. It works single-handedly to help developing countries to reduce poverty. III. It was established to help Europe rebuild after the World War II. Which of the statements given above are correct?","I and II only","II and III only","I and III only","I, II and III","C","IBRD lends mainly to middle-income countries and was originally established in the post-World War II reconstruction context. It does not work single-handedly.","UPSC","General Studies","General","Hard","PYQ","2025","ibrd|world bank|general|development finance|international"
"Consider the following statements in respect of RTGS and NEFT: I. In RTGS, the settlement time is instantaneous while in case of NEFT, it takes some time to settle payments. II. In RTGS, the customer is charged for inward transactions while that is not the case for NEFT. III. Operating hours for RTGS are restricted on certain days while this is not true for NEFT. Which of the statements given above is/are correct?","I only","I and II","I and III","III only","A","Only Statement I is correct. The other statements are not accepted as correct in this item.","UPSC","General Studies","General","Hard","PYQ","2025","rtgs|neft|payments|general|banking"
"Consider the following countries: I. United Arab Emirates II. France III. Germany IV. Singapore V. Bangladesh How many countries amongst the above are there other than India where international merchant payments are accepted under UPI?","Only two","Only three","Only four","All the five","B","Among the listed countries, UAE, France, and Singapore are counted for international merchant payments under UPI.","UPSC","General Studies","General","Hard","PYQ","2025","upi|payments|international|general|fintech"
"Consider the following statements about PM Surya Ghar Muft Bijli Yojana: I. It targets installation of one crore solar rooftop panels in the residential sector. II. The Ministry of New and Renewable Energy aims to impart training on installation, operation, maintenance and repairs of solar rooftop systems at grassroot levels. III. It aims to create more than three lakhs skilled manpower through fresh skilling, and upskilling, under scheme component of capacity building. Which of the statements given above are correct?","I and II only","I and III only","II and III only","I, II and III","D","All three statements are treated as correct for this scheme.","UPSC","Environment","Environment","Hard","PYQ","2025","pm surya ghar|solar rooftop|environment|energy|scheme"
