question,option_a,option_b,option_c,option_d,correct_option,explanation,exam,topic,subtopic,difficulty,type,year,tags
"If 1 January 2025 is Sunday which year will have the same calendar as 2025?","2029","2030","2031","2032","C","A non-leap year repeats its calendar when the next year with the same starting weekday and leap status arrives. Counting year shifts shows 2031 matches 2025.","UPSC","Quantitative Aptitude","Calendar Problems","Medium","PYQ","2024","calendar|odd days|leap year|day calculation|year"
"If p and q are distinct positive odd integers and r and s are distinct positive even integers which of the following expressions is necessarily odd?","(p-r)^2 (qs)","(q-s)q^2 s","(q+r)^2 (p+s)","None of the above","C","q + r is odd, so (q + r)^2 is odd. Also p + s is odd. The product of two odd numbers is odd.","UPSC","Quantitative Aptitude","Number Theory","Hard","PYQ","2024","odd even|integers|algebraic expressions|parity|number theory"
"What is the angle between the hands of a clock at 4:25?","15.5 degrees","17.5 degrees","22.5 degrees","27.5 degrees","B","The angle is |30H - 5.5M| = |30 x 4 - 5.5 x 25| = |120 - 137.5| = 17.5 degrees.","UPSC","Quantitative Aptitude","Clock Problems","Medium","PYQ","2024","clock|angle|hands|time|formula"
"What is the number of consecutive zeros at the end of the product 5^10 x 10^20 x 15^30 x 20^40 x 25^50?","100","150","200","250","A","Trailing zeros are determined by the smaller of the total powers of 2 and 5. The total power of 5 is 200, while the total power of 2 is 100, so the product ends with 100 zeros.","UPSC","Quantitative Aptitude","Number Theory","Hard","PYQ","2024","trailing zeros|factors|prime factorization|powers|number theory"
"How many times does the digit 5 appear in the page numbers of a book with 260 pages?","46","56","60","66","B","The digit 5 appears 26 times in the units place and 30 times in the tens place, for a total of 56 appearances from 1 to 260.","UPSC","Quantitative Aptitude","Number Theory","Medium","PYQ","2024","digit counting|page numbers|unit digit|tens digit|number theory"
"In the sequence 1 2 1 3 2 1 4 3 2 1 5 4 3 2 1... what is the sum of the first 28 terms?","72","84","90","96","B","The sequence forms blocks: 1; 2 1; 3 2 1; and so on. The first 28 terms complete the blocks from 1 through 7. Their sums are 1, 3, 6, 10, 15, 21, and 28, totaling 84.","UPSC","Quantitative Aptitude","Series and Sequences","Hard","PYQ","2024","number series|sequence|sum|pattern|layers"
"Article P is 25% more expensive than R. Article R is 20% more expensive than Q. If total cost is Rs 3330 what is the cost of P?","Rs 900","Rs 1080","Rs 1200","Rs 1350","D","Let Q = x, then R = 1.2x and P = 1.25 x 1.2x = 1.5x. So x + 1.2x + 1.5x = 3.7x = 3330, giving x = 900 and P = 1350.","UPSC","Quantitative Aptitude","Ratio and Proportion","Medium","PYQ","2024","ratio|price comparison|algebra|percentage|articles"
"AB and CD are two-digit numbers. Their sum is 1CE (a three-digit number). What is the value of A?","7","8","9","Cannot be determined","C","Since AB + CD is a three-digit number beginning with 1, the tens digit of AB must be 9 to create the required carry pattern. Thus A = 9.","UPSC","Quantitative Aptitude","Number Theory","Hard","PYQ","2024","number puzzle|digit|two-digit|carry over|algebra"
"How many distinct triplets (x y z) from the first seven natural numbers satisfy x > 2y > 3z?","3","4","5","6","B","z must be 1. Then y can be 2 or 3. For y = 2, x can be 5, 6, or 7. For y = 3, x can be 7. So there are 4 triplets.","UPSC","Quantitative Aptitude","Combinatorics","Hard","PYQ","2024","triplets|natural numbers|inequality|combinatorics|counting"
"The cost of 4 oranges + 6 mangoes + 8 apples equals twice the cost of 1 orange + 2 mangoes + 5 apples. Which of the following is correct? 1. Cost of 3O+5M+9A equals cost of 4O+6M+8A. 2. Cost of one orange + one mango = cost of one apple.","Only 1","Only 2","Both 1 and 2","Neither 1 nor 2","C","From the equation, 4O + 6M + 8A = 2O + 4M + 10A, so O + M = A. Both statements follow from this relation.","UPSC","Quantitative Aptitude","Algebra","Medium","PYQ","2024","algebra|equations|fruits|cost|linear equations"
"What is the unit digit of 32^5 + 2^27?","0","2","4","8","A","32^5 ends in the same digit as 2^5, which is 2. The unit digit of 2^27 is 8. Their sum ends in 0.","UPSC","Quantitative Aptitude","Number Theory","Medium","PYQ","2024","unit digit|cyclicity|powers|addition|number theory"
"p and q are natural numbers with p < q. What is the smallest value of k = p+q that does not uniquely determine p and q?","3","4","5","6","C","For k = 3, only (1,2) works. For k = 4, only (1,3) works. For k = 5, both (1,4) and (2,3) work. So 5 is the smallest non-unique value.","UPSC","Quantitative Aptitude","Number Theory","Medium","PYQ","2024","natural numbers|unique solution|sum|ambiguity|combinations"
"Statement: India is the world's largest producer of milk. Conclusion I: India is the world's largest exporter of milk. Conclusion II: India does not import milk.","Only Conclusion I follows","Only Conclusion II follows","Both Conclusions follow","Neither Conclusion I nor Conclusion II follows","D","Being the largest producer does not imply being the largest exporter, nor does it imply that imports are zero. Neither conclusion follows.","UPSC","Logical Reasoning","Statement and Conclusions","Easy","PYQ","2024","statement conclusion|milk|India|logical reasoning|inference"
"x = 4/5(y+z) and y = 2/7(x+z). Which is the correct order of x y and z?","x > y > z","x > z > y","z > x > y","y > z > x","B","Solving the equations gives x = 4z/3 and y = 2z/3, so x > z > y.","UPSC","Quantitative Aptitude","Algebra","Hard","PYQ","2024","algebra|simultaneous equations|ratio|comparison|inequality"
"Three distinct prime numbers whose sum is also prime and less than 23. What are those numbers?","3 5 and 11","2 5 and 11","3 7 and 11","2 7 and 13","A","If 2 is included with two odd primes, the sum is even and greater than 2, so it cannot be prime. The only valid combination here is 3, 5, and 11, whose sum is 19.","UPSC","Quantitative Aptitude","Number Theory","Medium","PYQ","2024","prime numbers|sum|distinct|number theory|combinations"
"What is the value of 10 - 30 x 100/50 + 25?","-25","-15","5","25","A","Using order of operations: 30 x 100 / 50 = 60, so 10 - 60 + 25 = -25.","UPSC","Quantitative Aptitude","BODMAS","Easy","PYQ","2024","BODMAS|arithmetic|order of operations|calculation|simplification"
"If ABCD = 24 and EFGH = 1680 (each letter represents its alphabet position) what is IJKL?","9240","11880","15120","17280","B","ABCD = 1 x 2 x 3 x 4 = 24 and EFGH = 5 x 6 x 7 x 8 = 1680, so IJKL = 9 x 10 x 11 x 12 = 11880.","UPSC","Logical Reasoning","Series and Sequences","Medium","PYQ","2024","alphabet|product|series|pattern|letter values"
"If POT is coded as ATOP and TRAP is coded as APART how is ARENA coded?","AANERA","ANARENA","ANERAA","AANREA","A","The pattern is A followed by the reverse of the word. The reverse of ARENA is ANERA, so the code is AANERA.","UPSC","Logical Reasoning","Coding and Decoding","Medium","PYQ","2024","coding decoding|reverse|pattern|letter arrangement|cipher"
