question,option_a,option_b,option_c,option_d,correct_option,explanation,exam,topic,subtopic,difficulty,type,year,tags
"Consider the following statements: 1. It was during the reign of Iltutmish that Chengiz Khan reached the Indus in pursuit of the fugitive Khwarezm prince. 2. It was during the reign of Muhammad-bin-Tughluq that Taimur occupied Multan and crossed the Indus. 3. It was during the reign of Deva Raya II of Vijayanagara Empire that Vasco da Gama reached the coast of Kerala.","1 only","1 and 2 only","3 only","2 and 3 only","A","Only Statement 1 is correct. Timur crossed the Indus during Firoz Shah Tughluq's reign not Muhammad-bin-Tughluq. Vasco da Gama arrived in 1498 but Deva Raya II died in 1446.","UPSC","History","Medieval India - Delhi Sultanate","Hard","PYQ","2021","Iltutmish,Chengiz Khan,Timur,Vasco da Gama,Tughluq"
"With reference to India the terms Halbi Ho and Kui pertain to","Dance forms of Northwest India","Musical instruments","Pre-historic cave paintings","Tribal languages","D","Halbi, Ho, and Kui are tribal languages spoken in central and eastern India, including Maharashtra, Madhya Pradesh and Odisha regions.","UPSC","History","Ancient India - Tribal Culture","Easy","PYQ","2021","tribal languages,Halbi,Ho,Kui,India tribes"
"With reference to the history of ancient India Bhavabhuti Hastimalla and Kshemeshvara were famous","Jain monks","Playwrights","Temple architects","Philosophers","B","Bhavabhuti, Hastimalla and Kshemeshvara were all Sanskrit playwrights and court poets. Bhavabhuti served King Yashovarman of Kannauj.","UPSC","History","Ancient India - Literature and Art","Medium","PYQ","2021","Bhavabhuti,Sanskrit drama,playwrights,ancient India literature"
"Which one of the following statements is correct?","Ajanta Caves lie in the gorge of Waghora River","Sanchi Stupa lies in the gorge of Chambal River","Pandu-lena Cave Shrines lie in the gorge of Narmada River","Amaravati Stupa lies in the gorge of Godavari River","A","The Ajanta Caves are carved into the Sahyadri hills overlooking the Waghora river in Maharashtra. The other statements about locations are incorrect.","UPSC","History","Ancient India - Art and Architecture","Easy","PYQ","2021","Ajanta Caves,Waghora River,Buddhist heritage,cave architecture"
"With reference to Chausath Yogini Temple situated near Morena consider the following statements: 1. It is a circular temple built during the reign of Kachchhapaghata Dynasty. 2. It is the only circular temple built in India. 3. It was meant to promote the Vaishnava cult in the region. 4. Its design has given rise to a popular belief that it was the inspiration behind the Indian Parliament building.","1 and 2 only","2 and 3 only","1 and 4 only","2 and 3 and 4 only","C","The temple was built by the Kachchhapaghata king Devapala around 1055-1075 CE and is believed to have inspired the design of India's Parliament building. It is not the only circular temple and is dedicated to Shiva not Vaishnavism.","UPSC","History","Ancient India - Art and Architecture","Hard","PYQ","2021","Chausath Yogini,Morena,circular temple,Parliament,Kachchhapaghata"
"Consider the following pairs: 1. Burzahom - Rock-cut shrines 2. Chandraketugarh - Terracotta art 3. Ganeshwar - Copper artefacts. Which of the pairs given above is/are correctly matched?","1 only","1 and 2 only","3 only","2 and 3 only","D","Burzahom is a prehistoric settlement known for pit dwellings not rock-cut shrines. Chandraketugarh is famous for terracotta art and Ganeshwar is known for its copper artefacts from a 4000-year-old civilization.","UPSC","History","Ancient India - Archaeology","Medium","PYQ","2021","Burzahom,Chandraketugarh,Ganeshwar,terracotta,copper artefacts,archaeology"
"Consider the following statements: 1. Francis Xavier was one of the founding members of the Jesuit Order. 2. Francis Xavier died in Goa and a church is dedicated to him there. 3. The Feast of St. Francis Xavier is celebrated in Goa each year.","1 and 2 only","2 and 3 only","1 and 3 only","1 and 2 and 3","C","Francis Xavier was among the first seven Jesuits. He did not die in Goa but at Sancian Island near China. His remains are in the Church of Bom Jesus in Goa and an annual feast is celebrated in his honour.","UPSC","History","Modern India - Portuguese in India","Medium","PYQ","2021","Francis Xavier,Jesuit,Goa,Christianity,Portuguese"
"Consider the following statements: 1. The Montagu-Chelmsford Reforms of 1919 recommended granting voting rights to all the women above the age of 21. 2. The Government of India Act of 1935 gave women reserved seats in legislature.","1 only","2 only","Both 1 and 2","Neither 1 nor 2","B","The 1919 reforms gave voting rights to only a limited number of women (not all). The Government of India Act 1935 did provide reserved seats for women in the legislature.","UPSC","History","Modern India - Constitutional Reforms","Medium","PYQ","2021","Montagu-Chelmsford,Government of India Act 1935,women voting rights,colonial reforms"
"With reference to 8th August 1942 in Indian history which one of the following statements is correct?","The Quit India Resolution was adopted by the AICC","The Viceroy's Executive Council was expanded to include more Indians","The Congress ministries resigned in seven provinces","Cripps proposed an Indian Union with full Dominion Status once the Second World War was over","A","On 8th August 1942 the All India Congress Committee passed the Quit India Resolution in Bombay launching the Quit India Movement led by Mahatma Gandhi.","UPSC","History","Modern India - Freedom Struggle","Easy","PYQ","2021","Quit India Movement,1942,AICC,Gandhi,freedom struggle"
"Who among the following is associated with Songs from Prison a translation of ancient India religious lyrics in English?","Bal Gangadhar Tilak","Jawaharlal Nehru","Mohandas Karamchand Gandhi","Sarojini Naidu","C","Songs from Prison is a translation of Hindu devotional songs into English by Mahatma Gandhi written while he was in jail, published in 1934.","UPSC","History","Modern India - Freedom Struggle","Medium","PYQ","2021","Songs from Prison,Gandhi,translation,devotional songs,freedom movement"
"Who among the following was associated as Secretary with Hindu Female School which later came to be known as Bethune Female School?","Annie Besant","Debendranath Tagore","Ishwar Chandra Vidyasagar","Sarojini Naidu","C","Ishwar Chandra Vidyasagar served as Secretary of Bethune School established in 1849 and championed women's higher education in India.","UPSC","History","Modern India - Social Reform Movements","Easy","PYQ","2021","Vidyasagar,Bethune School,women education,social reform,Bengal"
"In the context of Colonial India Shah Nawaz Khan Prem Kumar Sehgal and Gurbaksh Singh Dhillon are remembered as","Leaders of Swadeshi and Boycott Movement","Members of the Interim Government in 1946","Members of the Drafting Committee in the Constituent Assembly","Officers of the Indian National Army","D","These three were INA officers tried by the British government in the famous INA trials of November 1945, which sparked widespread public protests.","UPSC","History","Modern India - Indian National Army","Easy","PYQ","2021","INA,Shah Nawaz Khan,Prem Sehgal,Dhillon,Subhas Chandra Bose"
"With reference to Indian history which of the following statements is/are correct? 1. The Nizamat of Arcot emerged out of Hyderabad State. 2. The Mysore Kingdom emerged out of Vijayanagara Empire. 3. Rohilkhand Kingdom was formed out of the territories occupied by Ahmad Shah Durrani.","1 and 2 only","2 only","2 and 3 only","3 only","B","Mysore's Wodeyar dynasty asserted independence after the fall of Vijayanagara in 1565. The Nizamat of Arcot was a dependency of Hyderabad not its successor and Rohilkhand emerged from Afghan migration not Durrani occupation.","UPSC","History","Medieval India - Regional Kingdoms","Hard","PYQ","2021","Mysore,Vijayanagara,Arcot,Rohilkhand,regional kingdoms"
"In the first quarter of seventeenth century in which of the following was/were the factory/factories of the English East India Company located? 1. Broach 2. Chicacole 3. Trichinopoly","1 only","1 and 2 only","3 only","2 and 3 only","A","In the first quarter of the 17th century the English East India Company established a factory at Broach (along with Agra, Ahmedabad, Baroda) by 1619. There were no factories at Chicacole or Trichinopoly at that time.","UPSC","History","Modern India - British East India Company","Medium","PYQ","2021","East India Company,factories,Broach,17th century,trade"
"With reference to Madanapalle of Andhra Pradesh which one of the following statements is correct?","Pingali Venkayya designed the tricolor Indian National Flag here","Pattabhi Sitaramaiah led the Quit India Movement of Andhra region from here","Rabindranath Tagore translated the National Anthem from Bengali to English here","Madame Blavatsky and Colonel Olcott set up headquarters of Theosophical Society first here","C","Rabindranath Tagore translated Jana Gana Mana from Bengali to English at the Besant Theosophical College in Madanapalle, Andhra Pradesh.","UPSC","History","Modern India - Cultural and National Symbols","Medium","PYQ","2021","Tagore,National Anthem,Madanapalle,translation,Jana Gana Mana"
"Under the Indian Constitution concentration of wealth violates","the Right to Equality","the Directive Principles of State Policy","the Right to Freedom","the Concept of Welfare","B","Article 39 of the Directive Principles of State Policy specifically directs the state to prevent concentration of wealth and means of production to the common detriment.","UPSC","Polity","Indian Constitution - Directive Principles","Easy","PYQ","2021","DPSP,Article 39,concentration of wealth,Directive Principles"
"What is the position of the Right to Property in India?","Legal right available to citizens only","Legal right available to any person","Fundamental Right available to citizens only","Neither Fundamental Right nor legal right","B","After the 44th Amendment (1978) the Right to Property was removed from Fundamental Rights and placed under Article 300A as a legal right available to any person not just citizens.","UPSC","Polity","Indian Constitution - Fundamental Rights","Easy","PYQ","2021","Right to Property,Article 300A,44th Amendment,legal right"
"What was the exact constitutional status of India on 26th January 1950?","A Democratic Republic","A Sovereign Democratic Republic","A Sovereign Secular Democratic Republic","A Sovereign Socialist Secular Democratic Republic","B","On 26th January 1950 India became a Sovereign Democratic Republic. The words Socialist and Secular were added only later by the 42nd Amendment in 1976.","UPSC","Polity","Indian Constitution - Preamble","Easy","PYQ","2021","Preamble,Republic Day,1950,Sovereign Democratic Republic,42nd Amendment"
"Constitutional government means","a representative government of a nation with federal structure","a government whose Head enjoys nominal powers","a government whose Head enjoys real powers","a government limited by the terms of the Constitution","D","Constitutional government means a government that operates within the limits set by a constitution which is the supreme law and cannot be contradicted.","UPSC","Polity","Political Theory - Forms of Government","Easy","PYQ","2021","constitutional government,constitution,rule of law,limited government"
"Consider the following statements in respect of Bharat Ratna and Padma Awards: 1. Bharat Ratna and Padma Awards are titles under Article 18(1) of the Constitution. 2. Padma Awards instituted in 1954 were suspended only once. 3. The number of Bharat Ratna Awards is restricted to a maximum of five in a particular year. Which of the above statements are NOT correct?","1 and 2 only","2 and 3 only","1 and 3 only","1 and 2 and 3","D","All three are incorrect: National awards are not titles under Article 18(1). Padma Awards were suspended multiple times (1977-79, 1993, 1997). Bharat Ratna is limited to maximum 3 awards per year not 5.","UPSC","Polity","Indian Constitution - Constitutional Provisions","Medium","PYQ","2021","Bharat Ratna,Padma Awards,Article 18,national awards"
"With reference to India consider the following statements: 1. Judicial custody means an accused is in the custody of the concerned magistrate and such accused is locked up in police station not in jail. 2. During judicial custody the police officer in charge is not allowed to interrogate the suspect without the approval of the court.","1 only","2 only","Both 1 and 2","Neither 1 nor 2","B","In judicial custody the accused is lodged in jail (not a police station) under the magistrate's authority. Police cannot interrogate without court permission. So Statement 1 is wrong but Statement 2 is correct.","UPSC","Polity","Indian Judiciary - Criminal Law","Medium","PYQ","2021","judicial custody,police custody,magistrate,interrogation,criminal law"
"With reference to India consider the following statements: 1. When a prisoner makes out a sufficient case parole cannot be denied because it becomes a matter of right. 2. State Governments have their own Prisoners Release on Parole Rules.","1 only","2 only","Both 1 and 2","Neither 1 nor 2","B","Parole is not a right; it is a discretionary power of prison authorities. However State Governments do have their own individual rules for prisoner release on parole.","UPSC","Polity","Indian Judiciary - Criminal Law","Medium","PYQ","2021","parole,prisoner rights,state laws,prison administration"
"At the national level which ministry is the nodal agency to ensure effective implementation of the Scheduled Tribes and Other Traditional Forest Dwellers (Recognition of Forest Rights) Act 2006?","Ministry of Environment Forest and Climate Change","Ministry of Panchayati Raj","Ministry of Rural Development","Ministry of Tribal Affairs","D","The Ministry of Tribal Affairs is the nodal ministry for implementing the Forest Rights Act 2006 which recognizes the rights of tribals and other forest dwellers.","UPSC","Polity","Indian Governance - Tribal Affairs","Easy","PYQ","2021","Forest Rights Act,tribal affairs,ministry,forest dwellers,scheduled tribes"
"A legislation which confers on the executive or administrative authority an unguided and uncontrolled discretionary power in the matter of application of law violates which one of the following Articles of the Constitution of India?","Article 14","Article 28","Article 32","Article 44","A","Article 14 guarantees equality before law and equal protection. A law giving arbitrary unguided discretion to executive authorities can be struck down as violative of Article 14.","UPSC","Polity","Indian Constitution - Fundamental Rights","Medium","PYQ","2021","Article 14,equality,arbitrary power,judicial review,fundamental rights"
"Which one of the following in Indian polity is an essential feature that indicates that it is federal in character?","The independence of judiciary is safeguarded","The Union Legislature has elected representatives from constituent units","The Union Cabinet can have elected representatives from regional parties","The Fundamental Rights are enforceable by Courts of Law","A","An independent judiciary is a key feature of federalism as it arbitrates disputes between the Centre and States. The Supreme Court functions as a federal court in India.","UPSC","Polity","Indian Constitution - Federal Structure","Medium","PYQ","2021","federalism,independent judiciary,Supreme Court,federal features"
"Which one of the following best defines the term State?","A community of persons permanently occupying a definite territory independent of external control and possessing an organized government","A politically organized people of a definite territory and possessing an authority to govern them maintain law and order protect their natural rights and safeguard their means of sustenance","A number of persons who have been living in a definite territory for a very long time with their own culture tradition and government","A society permanently living in a definite territory with a central authority an executive responsible to the central authority and an independent judiciary","A","The classical definition of a State includes four elements: population, territory, government and sovereignty (independence from external control). Option A best captures this definition.","UPSC","Polity","Political Theory - State and Sovereignty","Medium","PYQ","2021","state,definition,sovereignty,territory,government"
"With reference to Indian judiciary consider the following statements: 1. Any retired judge of the Supreme Court can be called back to sit as a Supreme Court judge by the Chief Justice of India with prior permission of the President. 2. A High Court in India has the power to review its own judgement as the Supreme Court does.","1 only","2 only","Both 1 and 2","Neither 1 nor 2","C","Both statements are correct. The CJI can request a retired SC judge to sit with prior Presidential consent. High Courts like the Supreme Court also have the power to review their own judgments.","UPSC","Polity","Indian Judiciary - Supreme Court and High Courts","Medium","PYQ","2021","Supreme Court,retired judge,High Court,review power,judiciary"
"With reference to India consider the following statements: 1. There is only one citizenship and one domicile. 2. A citizen by birth only can become the Head of State. 3. A foreigner once granted the citizenship cannot be deprived of it under any circumstances.","1 only","2 only","1 and 3","2 and 3","A","India has single citizenship and one domicile (Article 5). The President need not be a citizen by birth. Citizenship can be terminated through renunciation, termination or deprivation under the Citizenship Act 1955.","UPSC","Polity","Indian Constitution - Citizenship","Medium","PYQ","2021","citizenship,single citizenship,domicile,President qualification,Citizenship Act"
"Which one of the following factors constitutes the best safeguard of liberty in a liberal democracy?","A committed judiciary","Centralization of powers","Elected government","Separation of powers","D","Separation of powers creates checks and balances among the legislature executive and judiciary preventing any one branch from accumulating too much power and thereby safeguarding liberty.","UPSC","Polity","Political Theory - Democracy and Liberty","Easy","PYQ","2021","separation of powers,liberty,democracy,checks and balances"
"We adopted parliamentary democracy based on the British model but how does our model differ from that model? 1. As regards legislation the British Parliament is supreme but in India the power of the Parliament to legislate is limited. 2. In India matters related to the constitutionality of an Amendment are referred to the Constitution Bench by the Supreme Court.","1 only","2 only","Both 1 and 2","Neither 1 nor 2","C","India differs from Britain in that parliamentary sovereignty is limited by the Constitution, fundamental rights and judicial review. The Constitution Bench also adjudicates on constitutional amendments.","UPSC","Polity","Indian Constitution - Parliamentary System","Medium","PYQ","2021","parliamentary democracy,British model,judicial review,Constitution Bench,Parliament sovereignty"
"With reference to the Union Government consider the following statements: 1. Gopalaswamy Iyengar Committee suggested that a minister and a secretary be designated solely for administrative reform. 2. In 1970 the Department of Personnel was constituted on the recommendation of the Administrative Reforms Commission 1966 and placed under the Prime Minister's charge.","1 only","2 only","Both 1 and 2","Neither 1 nor 2","B","It was the First Administrative Reforms Commission (not the Gopalaswamy Iyengar Committee) that suggested dedicated minister/secretary for reforms. Statement 2 about the Department of Personnel is correct.","UPSC","Polity","Indian Governance - Administrative Reforms","Hard","PYQ","2021","Administrative Reforms Commission,Department of Personnel,Gopalaswamy Iyengar,PM"
"Right to Privacy is protected under which Article of the Constitution of India?","Article 15","Article 19","Article 21","Article 29","C","In the landmark Puttaswamy judgment of 2017 the Supreme Court held that the Right to Privacy is a fundamental right protected under Article 21 (Right to Life and Personal Liberty).","UPSC","Polity","Indian Constitution - Fundamental Rights","Easy","PYQ","2021","Right to Privacy,Article 21,Puttaswamy case,fundamental rights,Supreme Court"
"Consider the following statements: 1. In India there is no law restricting the candidates from contesting in one Lok Sabha election from three constituencies. 2. In 1991 Lok Sabha Election Shri Devi Lal contested from three Lok Sabha constituencies. 3. As per existing rules if a candidate wins all constituencies their party should bear the cost of bye-elections.","1 only","2 only","1 and 3","2 and 3","B","The Representation of People Act 1951 limits candidates to two constituencies. Devi Lal contested from three seats in 1991 as an exception. There is no rule making the party pay bye-election costs.","UPSC","Polity","Elections - Lok Sabha","Medium","PYQ","2021","Lok Sabha election,constituencies,Devi Lal,Representation of People Act,bye-election"
"The money multiplier in an economy increases with which one of the following?","Increase in the Cash Reserve Ratio in the banks","Increase in the Statutory Liquidity Ratio in the banks","Increase in the banking habit of the people","Increase in the population of the country","C","Greater banking habit means more deposits in the system which allows banks to lend more thereby expanding the money supply and increasing the money multiplier.","UPSC","Economy","Monetary Policy - Money Supply","Medium","PYQ","2021","money multiplier,banking habit,CRR,SLR,money supply"
"With reference to Indian economy demand-pull inflation can be caused/increased by which of the following? 1. Expansionary policies 2. Fiscal stimulus 3. Inflation-indexing wages 4. Higher purchasing power 5. Rising interest rates","1 and 2 and 4 only","3 and 4 and 5 only","1 and 2 and 3 and 5 only","1 and 2 and 3 and 4 and 5","A","Demand-pull inflation occurs when aggregate demand exceeds supply. Expansionary policies fiscal stimulus and higher purchasing power all increase demand. Inflation-indexed wages and rising interest rates do not directly cause demand-pull inflation.","UPSC","Economy","Macroeconomics - Inflation","Medium","PYQ","2021","demand-pull inflation,fiscal stimulus,purchasing power,Keynesian,macroeconomics"
"With reference to India consider the following statements: 1. Retail investors through demat account can invest in Treasury Bills and Government of India Debt Bonds in primary market. 2. The Negotiated Dealing System-Order Matching is a government securities trading platform of the Reserve Bank of India. 3. The Central Depository Services Ltd is jointly promoted by the Reserve Bank of India and the Bombay Stock Exchange.","1 only","1 and 2 only","3 only","2 and 3 only","B","Statements 1 and 2 are correct. CDSL (Central Depository Services India Ltd) was not jointly promoted by RBI and BSE - it is an independent listed depository, so Statement 3 is wrong.","UPSC","Economy","Financial Markets - Securities and Banking","Hard","PYQ","2021","Treasury Bills,NDS-OM,CDSL,RBI,demat account,government securities"
"In India the central bank's function as the lender of last resort usually refers to which of the following? 1. Lending to trade and industry bodies when they fail to borrow from other sources. 2. Providing liquidity to the banks having a temporary crisis. 3. Lending to governments to finance budgetary deficits.","1 and 2 only","2 only","2 and 3 only","3 only","B","The lender of last resort function of the RBI specifically refers to providing emergency liquidity to banks facing temporary financial difficulty to maintain banking stability.","UPSC","Economy","Monetary Policy - RBI and Banking","Medium","PYQ","2021","lender of last resort,RBI,liquidity,banking crisis,central bank"
"Consider the following statements: 1. The Governor of the RBI is appointed by the Central Government. 2. Certain provisions in the Constitution of India give the Central Government the right to issue directions to the RBI in public interest. 3. The Governor of the RBI draws his power from the RBI Act.","1 and 2 only","2 and 3 only","1 and 3 only","1 and 2 and 3","C","The RBI Governor is appointed by the Central Government (Statement 1 correct). The Central Government's power to direct RBI comes from Section 7 of the RBI Act not the Constitution (Statement 2 incorrect). Governor's powers flow from the RBI Act (Statement 3 correct).","UPSC","Economy","Monetary Policy - RBI and Banking","Medium","PYQ","2021","RBI Governor,RBI Act,Section 7,Central Government,banking regulation"
"With reference to casual workers employed in India consider the following statements: 1. All casual workers are entitled for Employees Provident Fund coverage. 2. All casual workers are entitled for regular working hours and overtime payment. 3. The government can by a notification specify that an establishment or industry shall pay wages only through its bank account.","1 and 2 only","2 and 3 only","1 and 3 only","1 and 2 and 3","C","All casual workers are covered under EPF. While there is no guarantee of regular working hours they are entitled to overtime. The government can mandate payment through bank accounts by notification.","UPSC","Economy","Labour Laws and Employment","Medium","PYQ","2021","casual workers,EPF,overtime,wages,labour law"
"Which among the following steps is most likely to be taken at the time of an economic recession?","Cut in tax rates accompanied by increase in interest rate","Increase in expenditure on public projects","Increase in tax rates accompanied by reduction of interest rate","Reduction of expenditure on public project","B","During recession governments typically adopt expansionary fiscal policy by increasing public expenditure to create jobs boost demand and stimulate the economy.","UPSC","Economy","Macroeconomics - Fiscal Policy","Easy","PYQ","2021","recession,fiscal policy,public expenditure,Keynesian,economic stimulus"
