question,option_a,option_b,option_c,option_d,correct_option,explanation,exam,topic,subtopic,difficulty,type,year,tags
The Directive Principles of State Policy were borrowed from the Constitution of which country?,USA,Canada,Ireland,Australia,2,India borrowed the concept of Directive Principles from Ireland.,UPSC,Polity,Borrowed Features,Easy,PYQ,2016,dpsp|ireland
Fundamental Duties were added to the Constitution by which Amendment?,44th Amendment,52nd Amendment,61st Amendment,42nd Amendment,3,Fundamental Duties were inserted by the 42nd Amendment.,UPSC,Polity,Constitutional Amendments,Medium,PYQ,2017,fundamental-duties|42nd-amendment
The Finance Commission is constituted under which Article?,Article 280,Article 148,Article 324,Article 356,0,Article 280 provides for the Finance Commission.,SSC,Polity,Constitutional Bodies,Medium,PYQ,2022,finance-commission|article-280
The office of the Comptroller and Auditor General of India is mentioned in which Article?,Article 112,Article 148,Article 280,Article 324,1,Article 148 establishes the office of the CAG.,TSPSC,Polity,Constitutional Bodies,Medium,PYQ,2020,cag|article-148
The Attorney General for India is appointed under which Article?,Article 74,Article 78,Article 76,Article 165,2,Article 76 deals with the Attorney General of India.,APPSC,Polity,Union Executive,Medium,Conceptual,,attorney-general|article-76
Who appoints the Governor of a state?,Prime Minister,Chief Justice of India,State Legislature,President of India,3,The Governor is appointed by the President.,UPSC,Polity,State Executive,Easy,PYQ,2018,governor|appointment
The maximum strength of the Rajya Sabha as per the Constitution is:,250,245,260,275,0,The Constitution allows a maximum strength of 250 in the Rajya Sabha.,UPSC,Polity,Parliament,Easy,Conceptual,,rajya-sabha|maximum-strength
Which Article defines a Money Bill?,Article 108,Article 110,Article 111,Article 123,1,Article 110 defines a Money Bill.,SSC,Polity,Parliament,Medium,PYQ,2021,money-bill|article-110
A no-confidence motion can be moved only in:,Rajya Sabha,Both Houses,Lok Sabha,State Legislative Council,2,The Council of Ministers is collectively responsible to the Lok Sabha.,TSPSC,Polity,Parliament,Easy,Conceptual,,no-confidence-motion|lok-sabha
A joint sitting of Parliament is presided over by the:,President,Vice-President,Chief Justice of India,Speaker of the Lok Sabha,3,The Speaker presides over a joint sitting of Parliament.,APPSC,Polity,Parliament,Easy,PYQ,2017,joint-sitting|speaker
The ordinance-making power of the President is contained in:,Article 123,Article 143,Article 213,Article 356,0,Article 123 empowers the President to promulgate ordinances.,UPSC,Polity,Legislative Powers,Medium,PYQ,2018,ordinance|article-123
Panchayati Raj institutions received constitutional status through which Amendment?,42nd Amendment,73rd Amendment,52nd Amendment,74th Amendment,1,The 73rd Amendment gave constitutional status to Panchayats.,UPSC,Polity,Local Government,Easy,PYQ,2019,73rd-amendment|panchayati-raj
Municipalities received constitutional status through which Amendment?,69th Amendment,73rd Amendment,74th Amendment,86th Amendment,2,The 74th Amendment gave constitutional status to municipalities.,SSC,Polity,Local Government,Easy,PYQ,2020,74th-amendment|municipalities
Which Article deals with the Election Commission of India?,Article 280,Article 315,Article 356,Article 324,3,Article 324 vests superintendence and control of elections in the Election Commission.,TSPSC,Polity,Constitutional Bodies,Medium,PYQ,2021,election-commission|article-324
Which writ is used to produce a person who has been unlawfully detained?,Habeas Corpus,Mandamus,Certiorari,Quo Warranto,0,Habeas Corpus is the remedy against illegal detention.,APPSC,Polity,Judiciary,Easy,PYQ,2017,writ|habeas-corpus
Which is the oldest of the four Vedas?,Samaveda,Rigveda,Yajurveda,Atharvaveda,1,Rigveda is considered the oldest Veda.,UPSC,History,Ancient History,Easy,PYQ,2018,rigveda|vedas
Who was the 24th Tirthankara of Jainism?,Parshvanatha,Rishabhanatha,Mahavira,Gautama Buddha,2,Mahavira was the 24th Tirthankara of Jainism.,UPSC,History,Ancient History,Easy,Conceptual,,mahavira|jainism
Gautama Buddha was born at:,Bodh Gaya,Sarnath,Kushinagar,Lumbini,3,Lumbini is traditionally accepted as the birthplace of Buddha.,SSC,History,Ancient History,Easy,PYQ,2017,buddha|lumbini
Megasthenes visited the court of which ruler?,Chandragupta Maurya,Ashoka,Bindusara,Harshavardhana,0,Megasthenes was the Greek ambassador at the court of Chandragupta Maurya.,TSPSC,History,Ancient History,Easy,PYQ,2016,megasthenes|maurya
Who wrote the Arthashastra?,Kalidasa,Kautilya,Banabhatta,Megasthenes,1,Arthashastra is traditionally attributed to Kautilya.,APPSC,History,Ancient History,Easy,Conceptual,,arthashastra|kautilya
Ashoka embraced Buddhism after which battle?,Battle of Hydaspes,Battle of Panipat,Kalinga War,Battle of Plassey,2,The Kalinga War deeply influenced Ashoka.,UPSC,History,Ancient History,Easy,PYQ,2019,ashoka|kalinga-war
The Gupta period is often referred to as the:,Age of Reason,Age of Discovery,Age of Revolution,Golden Age of India,3,The Gupta era is often called the Golden Age because of its achievements.,UPSC,History,Ancient History,Easy,Conceptual,,gupta|golden-age
Who started the construction of the Qutub Minar?,Qutb-ud-din Aibak,Iltutmish,Alauddin Khalji,Balban,0,Qutb-ud-din Aibak started the Qutub Minar.,SSC,History,Medieval History,Easy,PYQ,2018,qutub-minar|aibak
Who introduced Din-i-Ilahi?,Humayun,Akbar,Jahangir,Aurangzeb,1,Akbar introduced Din-i-Ilahi.,TSPSC,History,Medieval History,Easy,PYQ,2017,din-i-ilahi|akbar
The First Battle of Panipat was fought in:,1498,1556,1526,1761,2,The First Battle of Panipat in 1526 established Babur in North India.,APPSC,History,Medieval History,Easy,PYQ,2019,panipat|1526
Shivaji was crowned at:,Sinhagad,Pratapgad,Satara,Raigad,3,Shivaji was crowned at Raigad.,UPSC,History,Medieval History,Easy,Conceptual,,shivaji|raigad
The Permanent Settlement was introduced by:,Lord Cornwallis,Lord Wellesley,Lord Dalhousie,Lord Curzon,0,Lord Cornwallis introduced the Permanent Settlement in Bengal.,UPSC,History,Modern History,Medium,PYQ,2020,permanent-settlement|cornwallis
The Subsidiary Alliance system is associated with:,Lord Cornwallis,Lord Wellesley,Lord Curzon,Lord Dalhousie,1,Lord Wellesley used the Subsidiary Alliance to expand British control.,SSC,History,Modern History,Medium,PYQ,2018,subsidiary-alliance|wellesley
The Doctrine of Lapse is associated with:,Lord Ripon,Lord Lytton,Lord Dalhousie,Lord Minto,2,Lord Dalhousie used the Doctrine of Lapse to annex states.,TSPSC,History,Modern History,Medium,PYQ,2019,doctrine-of-lapse|dalhousie
The Indian National Congress was founded in:,1882,1890,1905,1885,3,The INC was founded in 1885.,APPSC,History,Modern History,Easy,PYQ,2017,inc|1885
The Swadeshi Movement began after the partition of Bengal in:,1905,1885,1911,1920,0,The 1905 partition of Bengal triggered the Swadeshi movement.,UPSC,History,Modern History,Easy,PYQ,2021,swadeshi|partition-of-bengal
The Jallianwala Bagh massacre took place in:,1909,1919,1927,1942,1,The massacre occurred at Amritsar in 1919.,UPSC,History,Modern History,Easy,PYQ,2018,jallianwala-bagh|1919
The Non-Cooperation Movement was launched in:,1917,1930,1920,1942,2,Gandhi launched the Non-Cooperation Movement in 1920.,SSC,History,Modern History,Easy,PYQ,2020,non-cooperation|1920
The Dandi March marked the beginning of which movement?,Quit India Movement,Swadeshi Movement,Rowlatt Satyagraha,Civil Disobedience Movement,3,The Salt March to Dandi launched the Civil Disobedience Movement.,TSPSC,History,Modern History,Easy,PYQ,2022,dandi-march|civil-disobedience
The Quit India Movement was launched in:,1942,1930,1935,1946,0,The Quit India Movement was launched in August 1942.,APPSC,History,Modern History,Easy,PYQ,2017,quit-india|1942
Which is the longest river in India?,Godavari,Ganga,Brahmaputra,Yamuna,1,The Ganga is the longest river flowing within India.,UPSC,Geography,Rivers of India,Easy,PYQ,2018,ganga|longest-river
Which is the longest peninsular river in India?,Krishna,Narmada,Godavari,Kaveri,2,Godavari is the longest river of peninsular India.,SSC,Geography,Rivers of India,Easy,Conceptual,,godavari|peninsular-river
Which is the highest mountain peak in India?,Nanda Devi,Anamudi,Kamet,Kanchenjunga,3,Kanchenjunga is the highest peak located in India.,TSPSC,Geography,Physical Geography of India,Easy,PYQ,2020,kanchenjunga|highest-peak
Which is the largest freshwater lake in India?,Wular Lake,Dal Lake,Chilika Lake,Loktak Lake,0,Wular Lake is the largest freshwater lake in India.,APPSC,Geography,Lakes of India,Easy,PYQ,2019,wular|freshwater-lake
Which is the largest brackish water lagoon in India?,Wular Lake,Chilika Lake,Pulicat Lake,Dal Lake,1,Chilika Lake in Odisha is the largest brackish water lagoon in India.,RRB,Geography,Lakes of India,Easy,PYQ,2017,chilika|lagoon
Which river is known as the Sorrow of Bihar?,Gandak,Son,Kosi,Mahanadi,2,The Kosi causes frequent floods in Bihar.,UPSC,Geography,Rivers of India,Easy,PYQ,2021,kosi|bihar
Which type of soil is most suitable for cotton cultivation?,Laterite soil,Alluvial soil,Red soil,Black soil,3,Black soil has good moisture retention and is ideal for cotton.,SSC,Geography,Indian Soils,Easy,Conceptual,,black-soil|cotton
The standard meridian of India is:,82°30′ E,68°7′ E,90°30′ E,75°15′ E,0,India follows 82°30′ E longitude as the standard meridian for IST.,TSPSC,Geography,Physical Geography of India,Medium,PYQ,2018,ist|standard-meridian
The Tropic of Cancer passes through how many Indian states?,Six,Eight,Seven,Nine,1,The Tropic of Cancer passes through eight states in India.,APPSC,Geography,Physical Geography of India,Medium,PYQ,2021,tropic-of-cancer|states
Which mountain range is older?,Himalayas,Purvanchal,Western Ghats,Karakoram,2,The Western Ghats are geologically older than the Himalayas.,RRB,Geography,Physical Geography of India,Medium,Conceptual,,western-ghats|himalayas
The southwest monsoon first reaches mainland India at:,Konkan coast,Coromandel coast,Saurashtra coast,Kerala coast,3,The onset of the southwest monsoon is usually first observed over Kerala.,UPSC,Geography,Indian Climate,Easy,PYQ,2022,monsoon|kerala
The Thar Desert lies mainly in:,Rajasthan,Gujarat,Haryana,Madhya Pradesh,0,Most of the Thar Desert is located in Rajasthan.,SSC,Geography,Physical Geography of India,Easy,Conceptual,,thar-desert|rajasthan
Which place in India is famous for receiving very high annual rainfall?,Leh,Mawsynram,Jaisalmer,Nagpur,1,Mawsynram in Meghalaya is known for extremely high rainfall.,TSPSC,Geography,Indian Climate,Easy,PYQ,2018,mawsynram|rainfall
Which river flows westward through a rift valley?,Godavari,Mahanadi,Narmada,Kosi,2,Narmada flows west through a rift valley.,APPSC,Geography,Rivers of India,Medium,PYQ,2019,narmada|rift-valley
Tsangpo is the upper course of which river?,Ganga,Indus,Yamuna,Brahmaputra,3,The Brahmaputra is known as Tsangpo in Tibet.,RRB,Geography,Rivers of India,Medium,Conceptual,,tsangpo|brahmaputra
The Sundarban delta is formed by which river system?,Ganga-Brahmaputra-Meghna,Narmada-Tapi,Godavari-Krishna,Mahanadi-Brahmani,0,"The Sundarban delta is formed by the Ganga, Brahmaputra, and Meghna river system.",UPSC,Geography,Rivers of India,Medium,PYQ,2020,sundarban|delta
The Coromandel Coast lies along the:,Western coast of India,Eastern coast of India,Northern plains,Himalayan foothills,1,The Coromandel Coast is part of India’s eastern coastline.,SSC,Geography,Coastal Plains,Easy,Conceptual,,coromandel|east-coast
The coastal plain between Goa and Mumbai is called:,Malabar Coast,Northern Circars,Konkan Coast,Coromandel Coast,2,The Konkan Coast lies between Goa and Mumbai.,TSPSC,Geography,Coastal Plains,Medium,Conceptual,,konkan|coastal-plains
Jog Falls is located on which river?,Periyar,Krishna,Godavari,Sharavathi,3,Jog Falls in Karnataka is on the Sharavathi River.,APPSC,Geography,Rivers of India,Medium,Conceptual,,jog-falls|sharavathi
Hirakud Dam is built across which river?,Mahanadi,Godavari,Narmada,Kaveri,0,Hirakud Dam in Odisha is built on the Mahanadi.,RRB,Geography,Rivers of India,Easy,Conceptual,,hirakud|mahanadi
Which institution is the central bank of India?,SEBI,Reserve Bank of India,NABARD,SIDBI,1,The Reserve Bank of India is the central bank of the country.,UPSC,Economy,Banking & Finance,Easy,PYQ,2018,rbi|central-bank
UPI is operated by which organisation?,RBI,SEBI,NPCI,IRDAI,2,UPI is operated by the National Payments Corporation of India.,SSC,Economy,Banking & Finance,Easy,PYQ,2022,upi|npci
Repo rate refers to the rate at which RBI:,Accepts deposits from public,Lends money to NBFCs only,Borrows from foreign banks,Lends money to commercial banks,3,Repo rate is the rate at which the RBI lends short-term funds to commercial banks.,RRB,Economy,Monetary Policy,Medium,Conceptual,,repo-rate|rbi
Reverse repo rate is the rate at which RBI:,Borrows money from commercial banks,Lends to state governments,Issues currency notes,Buys foreign currency,0,"Under reverse repo, banks park surplus funds with the RBI.",IBPS,Economy,Monetary Policy,Medium,Conceptual,,reverse-repo|monetary-policy
GST is best described as a:,Direct tax,Indirect tax,Wealth tax,Property tax,1,GST is an indirect tax levied on supply of goods and services.,APPSC,Economy,Taxation,Easy,PYQ,2019,gst|indirect-tax
Fiscal deficit occurs when government expenditure is greater than:,Its tax receipts only,Its exports,Its total receipts excluding borrowings,Its total borrowings,2,Fiscal deficit is the excess of expenditure over receipts excluding borrowings.,UPSC,Economy,Public Finance,Medium,PYQ,2021,fiscal-deficit|budget
NABARD is mainly associated with:,Insurance regulation,Stock market regulation,Telecom services,Agriculture and rural development,3,NABARD supports agriculture and rural development financing.,SSC,Economy,Banking & Finance,Easy,Conceptual,,nabard|agriculture
SEBI regulates the:,Securities market,Agricultural market,Labour market,Telecom market,0,SEBI is the regulator of the securities market.,RRB,Economy,Banking & Finance,Easy,PYQ,2018,sebi|capital-market
How many members are there in the Monetary Policy Committee of India?,4,6,5,7,1,The Monetary Policy Committee has six members.,IBPS,Economy,Monetary Policy,Medium,Conceptual,,mpc|six-members
Cash Reserve Ratio is the share of deposits that banks must keep with:,SEBI,State Government,RBI,NABARD,2,CRR is maintained by banks with the RBI.,APPSC,Economy,Banking & Finance,Easy,Conceptual,,crr|rbi
NPA stands for:,Net Productive Asset,National Payment Account,New Public Asset,Non-Performing Asset,3,An NPA is a loan on which repayment has stopped.,UPSC,Economy,Banking & Finance,Easy,Conceptual,,npa|banking
GDP stands for:,Gross Domestic Product,Gross Development Plan,General Domestic Price,Gross Demand Product,0,GDP is the total value of final goods and services produced within a country.,SSC,Economy,National Income,Easy,Conceptual,,gdp|national-income
Agriculture belongs to which sector of the economy?,Secondary sector,Primary sector,Tertiary sector,Quaternary sector,1,Agriculture belongs to the primary sector.,RRB,Economy,Sectors of Economy,Easy,PYQ,2017,agriculture|primary-sector
Disinvestment means:,Increase in subsidy,Printing more currency,Sale of government stake in public sector enterprises,Closing private firms,2,Disinvestment refers to reducing government ownership in public enterprises.,IBPS,Economy,Public Finance,Medium,Conceptual,,disinvestment|psu
Balance of Payments records a country’s:,Internal trade between states,Only tax revenue,Only government salaries,Transactions with the rest of the world,3,Balance of Payments records all economic transactions with the rest of the world.,APPSC,Economy,External Sector,Medium,Conceptual,,bop|external-sector
The Montreal Protocol is related to:,Ozone layer protection,Biodiversity conservation,Wetland management,Forest certification,0,The Montreal Protocol aims to phase out ozone-depleting substances.,UPSC,Environment,International Agreements,Easy,PYQ,2018,montreal-protocol|ozone
The Kyoto Protocol focused on reducing:,Marine pollution only,Greenhouse gas emissions,Deforestation only,Radioactive waste only,1,The Kyoto Protocol set targets for reducing greenhouse gas emissions.,SSC,Environment,International Agreements,Medium,Conceptual,,kyoto-protocol|greenhouse-gases
The Paris Agreement on climate change was adopted in:,2001,2010,2015,2019,2,The Paris Agreement was adopted at COP21 in 2015.,TSPSC,Environment,International Agreements,Easy,PYQ,2016,paris-agreement|2015
Ramsar Convention is associated with:,Deserts,Mountains,Mangrove timber trade,Wetlands,3,The Ramsar Convention is a treaty for wetland conservation.,APPSC,Environment,International Agreements,Easy,PYQ,2017,ramsar|wetlands
CITES deals with:,Trade in endangered species,Nuclear safety,Ocean currents,Meteorological services,0,CITES regulates international trade in endangered species.,RRB,Environment,International Agreements,Medium,Conceptual,,cites|endangered-species
The headquarters of UNEP is in:,Geneva,Nairobi,Paris,New York,1,The United Nations Environment Programme is headquartered in Nairobi.,UPSC,Environment,International Organisations,Medium,Conceptual,,unep|nairobi
Project Tiger was launched in India in:,1952,1984,1973,1991,2,Project Tiger was launched in 1973.,SSC,Environment,Conservation,Easy,PYQ,2019,project-tiger|1973
The Chipko Movement is associated with:,River linking,Industrial labour rights,Nuclear disarmament,Forest conservation,3,Chipko was a forest conservation movement.,TSPSC,Environment,Environmental Movements,Easy,Conceptual,,chipko|forest-conservation
Which of the following is NOT a greenhouse gas?,Nitrogen,Carbon dioxide,Methane,Nitrous oxide,0,Nitrogen is not considered a greenhouse gas under normal atmospheric conditions.,APPSC,Environment,Climate Change,Easy,PYQ,2018,greenhouse-gases|nitrogen
The ozone layer is mainly found in the:,Troposphere,Stratosphere,Mesosphere,Exosphere,1,The ozone layer lies in the stratosphere.,RRB,Environment,Atmosphere,Easy,Conceptual,,ozone-layer|stratosphere
DNA stands for:,Diribonucleic Acid,Dynamic Nucleic Acid,Deoxyribonucleic Acid,Dual Nitrogen Atom,2,DNA is the hereditary material in most living organisms.,UPSC,Science & Technology,Biology,Easy,PYQ,2018,dna|biology
The powerhouse of the cell is:,Nucleus,Ribosome,Golgi body,Mitochondria,3,Mitochondria generate most of the cell’s ATP energy.,SSC,Science & Technology,Biology,Easy,Conceptual,,mitochondria|cell
Photosynthesis in green plants primarily takes place because of:,Chlorophyll,Haemoglobin,Melanin,Adrenaline,0,Chlorophyll captures light energy required for photosynthesis.,RRB,Science & Technology,Biology,Easy,Conceptual,,photosynthesis|chlorophyll
The SI unit of force is:,Joule,Newton,Pascal,Watt,1,Force is measured in newtons in the SI system.,IBPS,Science & Technology,Physics,Easy,PYQ,2017,force|newton
Sound cannot travel through:,Water,Steel,Vacuum,Air,2,Sound requires a material medium to travel.,APPSC,Science & Technology,Physics,Easy,Conceptual,,sound|vacuum
An acid turns blue litmus paper:,Green,Black,White,Red,3,Acids turn blue litmus red.,UPSC,Science & Technology,Chemistry,Easy,Conceptual,,acid|litmus
A substance with pH less than 7 is generally:,Acidic,Basic,Neutral,Radioactive,0,Solutions with pH below 7 are acidic.,SSC,Science & Technology,Chemistry,Easy,Conceptual,,ph|acids
Deficiency of Vitamin C causes:,Rickets,Scurvy,Night blindness,Goitre,1,Scurvy is caused by deficiency of Vitamin C.,RRB,Science & Technology,Biology,Easy,PYQ,2019,vitamin-c|scurvy
Insulin helps regulate the level of:,Blood calcium,Body temperature,Blood sugar,Haemoglobin only,2,Insulin helps control glucose levels in the blood.,IBPS,Science & Technology,Biology,Easy,Conceptual,,insulin|glucose
CPU stands for:,Central Program Utility,Computer Power Unit,Control Processing Utility,Central Processing Unit,3,CPU is the primary processing component of a computer.,APPSC,Science & Technology,Computer Science,Easy,Conceptual,,cpu|computer
"Choose the synonym of ""abundant"".",Plentiful,Scarce,Tiny,Dry,0,"Abundant means existing in large quantity, so plentiful is the closest synonym.",SSC,English Language,Vocabulary,Easy,Mock,,synonym|abundant
"Choose the antonym of ""timid"".",Quiet,Bold,Slow,Weak,1,"Timid means shy or lacking courage, while bold is the opposite.",IBPS,English Language,Vocabulary,Easy,Mock,,antonym|timid
"Choose the antonym of ""transparent"".",Bright,Visible,Opaque,Shiny,2,Opaque means not transparent.,RRB,English Language,Vocabulary,Easy,Mock,,antonym|transparent
One who loves books is called a:,Biologist,Bilingual,Bibliography,Bibliophile,3,A bibliophile is a person who loves or collects books.,TSPSC,English Language,Vocabulary,Easy,Mock,,one-word-substitution|bibliophile
Choose the correctly spelled word.,Accommodation,Acommodation,Accomodation,Acomodation,0,Accommodation is the correct spelling.,APPSC,English Language,Spelling,Easy,Mock,,spelling|accommodation
"The idiom ""once in a blue moon"" means:",At night only,Very rarely,Very loudly,With full moonlight,1,Once in a blue moon refers to something that happens very rarely.,SSC,English Language,Idioms,Easy,Mock,,idiom|rarely
Choose the correct article: ___ sun rises in the east.,A,An,The,No article,2,"Unique objects like the sun generally take the definite article ""the"".",IBPS,English Language,Grammar,Easy,Mock,,articles|grammar
Choose the correct verb: Each of the boys ___ present.,were,are,have,was,3,"Each is singular, so it takes the singular verb was.",RRB,English Language,Grammar,Easy,Mock,,subject-verb-agreement|grammar
"The past tense of ""go"" is:",went,goed,gone,going,0,Went is the simple past tense form of go.,TSPSC,English Language,Grammar,Easy,Mock,,tenses|go
"Choose the synonym of ""ubiquitous"".",Extremely rare,Present everywhere,Dangerous,Completely absent,1,Ubiquitous means found everywhere.,APPSC,English Language,Vocabulary,Medium,Mock,,synonym|ubiquitous
"Choose the antonym of ""generous"".",Friendly,Honest,Stingy,Happy,2,Generous means willing to give; stingy is the opposite.,SSC,English Language,Vocabulary,Easy,Mock,,antonym|generous
"Choose the word that means ""unavoidable"".",Optional,Trivial,Flexible,Inevitable,3,Inevitable means certain to happen and impossible to avoid.,IBPS,English Language,Vocabulary,Medium,Mock,,vocabulary|inevitable
"The abstract noun of ""honest"" is:",Honesty,Honestness,Honour,Honourable,0,Honesty is the abstract noun form of honest.,RRB,English Language,Word Formation,Easy,Mock,,abstract-noun|honesty
Choose the correct preposition: He is good ___ mathematics.,on,at,in,for,1,The correct collocation is good at mathematics.,TSPSC,English Language,Grammar,Easy,Mock,,prepositions|mathematics
One who cannot read or write is called:,Immature,Inactive,Illiterate,Illegal,2,Illiterate means unable to read or write.,APPSC,English Language,Vocabulary,Easy,Mock,,one-word-substitution|illiterate
What is the capital city of Telangana?,Warangal,Karimnagar,Nizamabad,Hyderabad,3,Hyderabad is the capital city of Telangana.,TSPSC,Telangana GK,State Basics,Easy,Conceptual,,hyderabad|capital
Telangana was officially formed on:,2 June 2014,1 May 1960,15 August 1947,26 January 1950,0,Telangana became a separate state on 2 June 2014.,TSPSC,Telangana GK,State Basics,Easy,Conceptual,,formation-day|2014
Bathukamma is a famous festival of:,Punjab,Telangana,Kerala,Gujarat,1,Bathukamma is a major floral festival celebrated in Telangana.,TSPSC,Telangana GK,Culture,Easy,Conceptual,,bathukamma|culture
Ramappa Temple is located in which district of Telangana?,Adilabad,Medak,Mulugu,Mahabubnagar,2,Ramappa Temple is in Mulugu district.,SSC,Telangana GK,Culture,Medium,Conceptual,,ramappa-temple|mulugu
Kaleshwaram Lift Irrigation Project is built on the river:,Krishna,Musi,Tungabhadra,Godavari,3,The Kaleshwaram project is linked to the Godavari river system.,RRB,Telangana GK,Geography,Medium,Conceptual,,kaleshwaram|godavari
Satish Dhawan Space Centre is located at:,Sriharikota,Araku,Kurnool,Tirupati city,0,India’s major launch centre is located at Sriharikota.,APPSC,AP GK,Geography,Easy,Conceptual,,sriharikota|space-centre
Kuchipudi is a classical dance form that originated in:,Kerala,Andhra Pradesh,Punjab,Rajasthan,1,Kuchipudi originated in Andhra Pradesh.,APPSC,AP GK,Culture,Easy,Conceptual,,kuchipudi|dance
The Tirumala temple is dedicated to:,Lord Shiva,Lord Rama,Lord Venkateswara,Lord Subrahmanya,2,The famous Tirumala temple is dedicated to Lord Venkateswara.,SSC,AP GK,Culture,Easy,Conceptual,,tirumala|venkateswara
Araku Valley is located in the:,Western Ghats,Aravalli Hills,Nilgiri Hills,Eastern Ghats,3,Araku Valley is a scenic hill region in the Eastern Ghats.,RRB,AP GK,Geography,Easy,Conceptual,,araku|eastern-ghats
Polavaram project is associated with which river?,Godavari,Krishna,Penna,Vamsadhara,0,The Polavaram project is on the Godavari river.,IBPS,AP GK,Geography,Medium,Conceptual,,polavaram|godavari
"Find the next term in the series: 2, 4, 6, 8, ?",12,10,6,14,1,The pattern adds 2 each time.,SSC,Reasoning,Number Series,Easy,Mock,,reasoning|number-series
"Find the next term in the series: 5, 10, 20, 40, ?",60,100,80,70,2,Each number is doubled.,RRB,Reasoning,Number Series,Easy,Mock,,reasoning|number-series
"Find the next term in the series: 1, 4, 9, 16, ?",21,24,36,25,3,These are perfect squares.,IBPS,Reasoning,Number Series,Easy,Mock,,reasoning|number-series
"Find the next term in the series: 3, 6, 12, 24, ?",48,36,42,54,0,Each term is doubled.,TSPSC,Reasoning,Number Series,Easy,Mock,,reasoning|number-series
"Find the next term in the series: 8, 13, 18, 23, ?",24,28,30,32,1,The pattern adds 5 each time.,APPSC,Reasoning,Number Series,Easy,Mock,,reasoning|number-series
"Find the next term in the series: 21, 18, 15, 12, ?",6,10,9,11,2,The pattern subtracts 3 each time.,SSC,Reasoning,Number Series,Easy,Mock,,reasoning|number-series
"Find the next term in the series: 7, 14, 28, 56, ?",96,104,120,112,3,Each term is multiplied by 2.,RRB,Reasoning,Number Series,Medium,Mock,,reasoning|number-series
"Find the next term in the series: 64, 32, 16, 8, ?",4,2,6,12,0,Each term is halved.,IBPS,Reasoning,Number Series,Medium,Mock,,reasoning|number-series
"Find the next term in the series: 11, 13, 17, 19, ?",21,23,25,27,1,These are consecutive prime numbers.,TSPSC,Reasoning,Number Series,Medium,Mock,,reasoning|number-series
"Find the next term in the series: 3, 9, 27, 81, ?",162,324,243,216,2,Each term is multiplied by 3.,APPSC,Reasoning,Number Series,Medium,Mock,,reasoning|number-series
Puppy : Dog :: Kitten : ?,Tiger,Cow,Horse,Cat,3,A puppy is a young dog just as a kitten is a young cat.,SSC,Reasoning,Analogy,Easy,Mock,,reasoning|analogy
Book : Read :: Food : ?,Eat,Cook,Serve,Smell,0,"A book is read, just as food is eaten.",RRB,Reasoning,Analogy,Easy,Mock,,reasoning|analogy
Doctor : Hospital :: Teacher : ?,Library,School,Temple,Factory,1,"A doctor works in a hospital, just as a teacher works in a school.",IBPS,Reasoning,Analogy,Easy,Mock,,reasoning|analogy
Bird : Nest :: Bee : ?,Tree,Flower,Hive,Wing,2,A bird lives in a nest just as a bee lives in a hive.,TSPSC,Reasoning,Analogy,Easy,Mock,,reasoning|analogy
